pair_id,entry_id,name,series,receptor,role,smiles,best_score_kcal_mol,protocol,region,pose_centroid_to_cocrystal_A,n_polar_contacts,polar_contacts,n_hydrophobic_contacts,hydrophobic_residues,ec50_nM,emax_pct,gpr109a_fold,ghsr_fold,lle,best_pose_file,_pose_files
c31_8Z8A,c31,Davidsson 2020 compound 31,constrained_analogue_cyclic,8Z8A,paper series,CCOc1cc(Cl)cc(N2CCOCC2)c1-c1cnc(-c2nc3ccc(S(=O)(=O)C4CCN(C)CC4)cc3s2)[nH]c1=O,-2.832,"phase6: 24A box, 2 seeds x ex16 x 5 poses",TM56_EXTRACELLULAR,10.84,3,SER167OG-O 2.7A; GLU153OE1-N 2.9A; SER167O-S 3.4A,45,149; 150; 157; 167; 168; 170; 174; 177; 180; 184; 96; 99,240.0,,6,,,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c31_8Z8A_seed1.pdbqt,"['/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c31_8Z8A_seed1.pdbqt', '/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c31_8Z8A_seed20260803.pdbqt']"
c32_8Z8A,c32,Davidsson 2020 compound 32,amide,8Z8A,paper series,CCOc1cc(Cl)c(C(=O)Nc2nc3ccc(CN4CCN(C)CC4)cc3s2)cc1N1CCOCC1,-4.236,"phase6: 24A box, 2 seeds x ex16 x 5 poses",TM56_EXTRACELLULAR,10.68,5,GLU153OE1-O 2.8A; HIS177NE2-N 3.1A; LEU156O-O 3.3A; SER167O-S 3.5A; HIS155ND1-S 3.5A,48,149; 150; 157; 167; 168; 174; 177; 180; 96; 99,410.0,,27,122,,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c32_8Z8A_seed1.pdbqt,"['/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c32_8Z8A_seed1.pdbqt', '/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c32_8Z8A_seed20260803.pdbqt']"
c33_8Z8A,c33,Davidsson 2020 compound 33,amide,8Z8A,paper series,CCOc1cc(Cl)c(C(=O)Nc2nc3ccc(S(=O)(=O)C4CCN(C)CC4)cc3s2)cc1N1CCOCC1,-3.413,"phase6: 24A box, 2 seeds x ex16 x 5 poses",ORTHO_POCKET,9.44,6,HIS177NE2-N 3.1A; GLU184OE2-O 3.3A; GLU153OE1-N 3.3A; LEU92O-O 3.4A; SER167O-S 3.4A; ARG99NH2-O 3.5A,56,150; 153; 155; 167; 168; 170; 174; 177; 180; 181; 92; 95; 96; 99,740.0,,12,68,,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c33_8Z8A_seed1.pdbqt,"['/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c33_8Z8A_seed1.pdbqt', '/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c33_8Z8A_seed20260803.pdbqt']"
c34_8Z8A,c34,Davidsson 2020 compound 34,amide,8Z8A,paper series,CCOc1cc(Cl)c(C(=O)Nc2nc3ccc(OC4CCN(C)CC4)cc3s2)cc1N1CCOCC1,-5.805,"phase6: 24A box, 2 seeds x ex16 x 5 poses",TM56_EXTRACELLULAR,9.77,5,TYR149OH-O 2.8A; HIS155ND1-N 2.8A; GLU153OE1-O 3.0A; HIS177NE2-O 3.2A; ASN154O-O 3.5A,50,149; 150; 155; 157; 167; 168; 170; 177; 180; 181; 6; 92; 96; 99,110.0,,15,273,,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c34_8Z8A_seed20260803.pdbqt,"['/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c34_8Z8A_seed1.pdbqt', '/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c34_8Z8A_seed20260803.pdbqt']"
c35_8Z8A,c35,Davidsson 2020 compound 35,amide,8Z8A,paper series,CCOc1cc(Cl)c(C(=O)Nc2nc3ccc(S(=O)(=O)CCCN4CCN(C)CC4)cc3s2)cc1N1CCOCC1,-5.189,"phase6: 24A box, 2 seeds x ex16 x 5 poses",ORTHO_POCKET,9.32,6,SER167OG-N 2.8A; HIS177NE2-O 2.9A; GLU153OE1-N 3.1A; TYR268OH-N 3.1A; HIS155ND1-S 3.3A; ASN174OD1-O 3.4A,45,149; 150; 155; 156; 167; 168; 177; 264; 71; 92; 95; 96; 99,600.0,,11,83,,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c35_8Z8A_seed1.pdbqt,"['/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c35_8Z8A_seed1.pdbqt', '/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c35_8Z8A_seed20260803.pdbqt']"
c36_8Z8A,c36,Davidsson 2020 compound 36,amide,8Z8A,paper series,CCOc1cc(Cl)c(C(=O)Nc2nc3ccc(S(=O)(=O)CCCN4CCN(C)CC4)cc3s2)cc1N1CCO[C@H](C)C1,-5.152,"phase6: 24A box, 2 seeds x ex16 x 5 poses",ORTHO_POCKET,9.66,6,HIS177NE2-O 2.9A; SER167OG-N 3.0A; GLU153OE1-N 3.1A; ARG99NH2-N 3.3A; ASN174OD1-O 3.3A; HIS155ND1-S 3.4A,40,149; 150; 155; 167; 168; 177; 264; 71; 92; 95; 96,160.0,,9,131,,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c36_8Z8A_seed1.pdbqt,"['/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c36_8Z8A_seed1.pdbqt', '/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c36_8Z8A_seed20260803.pdbqt']"
c37_8Z8A,c37,Davidsson 2020 compound 37,amide,8Z8A,paper series,CCOc1cc(Cl)c(C(=O)Nc2nc3ccc(S(=O)(=O)CCCN4CCN(C)CC4)cc3s2)cc1N1C[C@H](C)O[C@@H](C)C1,-5.151,"phase6: 24A box, 2 seeds x ex16 x 5 poses",ORTHO_POCKET,9.35,7,HIS177NE2-O 2.5A; SER167OG-N 2.8A; GLU153OE1-N 3.0A; MET170O-O 3.0A; HIS155ND1-S 3.2A; CYS6N-O 3.2A; TYR149OH-O 3.2A,47,149; 150; 153; 155; 157; 167; 168; 171; 177; 264; 6; 71; 92; 95; 96; 99,350.0,,,,,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c37_8Z8A_seed20260803.pdbqt,"['/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c37_8Z8A_seed1.pdbqt', '/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c37_8Z8A_seed20260803.pdbqt']"
c38_8Z8A,c38,Davidsson 2020 compound 38,amide,8Z8A,paper series,CCOc1cc(Cl)c(C(=O)Nc2nc3ccc(S(=O)(=O)CCCN4CCN(C)CC4)cc3s2)cc1N1C[C@@H](C)O[C@@H](C)C1,-4.491,"phase6: 24A box, 2 seeds x ex16 x 5 poses",ORTHO_POCKET,9.84,8,HIS177NE2-O 2.9A; GLU153OE2-O 3.0A; SER167OG-O 3.1A; SER167O-S 3.1A; ASN154O-O 3.1A; TYR268OH-N 3.2A; GLU153OE1-O 3.3A; ARG99NH2-N 3.3A,52,149; 150; 154; 156; 157; 167; 168; 174; 177; 264; 71; 92; 95; 96; 99,54.0,,10,500,,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c38_8Z8A_seed1.pdbqt,"['/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c38_8Z8A_seed1.pdbqt', '/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c38_8Z8A_seed20260803.pdbqt']"
c39_8Z8A,c39,Davidsson 2020 compound 39,amide,8Z8A,paper series,CCOc1cc(Cl)c(C(=O)Nc2nc3ccccc3s2)cc1N1CCOCC1,-6.979,"phase6: 24A box, 2 seeds x ex16 x 5 poses",TM56_EXTRACELLULAR,11.26,4,HIS155O-O 3.1A; ASN174ND2-O 3.2A; GLU166O-O 3.2A; ILE169O-S 3.3A,17,155; 157; 167; 170; 174; 9,1900.0,,,,,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c39_8Z8A_seed1.pdbqt,"['/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c39_8Z8A_seed1.pdbqt', '/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c39_8Z8A_seed20260803.pdbqt']"
t01_8Z8A,t01,AZ1_GPR81_agonist_2,lead/tool compound,8Z8A,lead table,CCOC1=C(C=C(C(=C1)Cl)C(=O)NC(=O)NC2=NC3=C(S2)C=C(C=C3)S(=O)(=O)C4CCN(CC4)C)N5C=CC=N5,-3.94,phase3: 5 poses,ORTHO_POCKET,9.85,5,ARG99NH2-O 2.9A; GLU153OE1-N 3.0A; HIS177NE2-N 3.3A; ASN174O-O 3.4A; ASN174ND2-N 3.5A,47,149; 150; 155; 167; 168; 174; 177; 180; 181; 92; 95; 96; 99,23.0,,,,,/das/user/QYJI/druggability/data/gpr81_phase1/phase3_docking/poses/8Z8A/AZ1_GPR81_agonist_2.pdbqt,['/das/user/QYJI/druggability/data/gpr81_phase1/phase3_docking/poses/8Z8A/AZ1_GPR81_agonist_2.pdbqt']
t02_8Z8A,t02,GPR81_agonist_1,lead/tool compound,8Z8A,lead table,CC1CCC(CC1)C(=O)NC2=NC(=C(S2)CC(=O)N3CCN(CC3)C)C4=CC=CS4,-7.73,phase3: 5 poses,TM56_EXTRACELLULAR,11.57,3,GLU166O-O 2.6A; GLU153OE1-N 2.8A; MET170O-N 3.3A,23,149; 153; 155; 157; 167; 170; 171; 174; 177; 7; 9,50.0,,,,,/das/user/QYJI/druggability/data/gpr81_phase1/phase3_docking/poses/8Z8A/GPR81_agonist_1.pdbqt,['/das/user/QYJI/druggability/data/gpr81_phase1/phase3_docking/poses/8Z8A/GPR81_agonist_1.pdbqt']
t03_8Z8A,t03,CHBA,lead/tool compound,8Z8A,lead table,C1=C(C=C(C=C1O)Cl)C(=O)O,-5.929,phase3: 5 poses,ORTHO_POCKET,2.76,5,HIS261O-O 2.9A; TYR75OH-O 2.9A; SER167OG-O 2.9A; TYR268OH-O 3.2A; HIS261ND1-O 3.2A,9,168; 169; 260; 261; 264,,,,,,/das/user/QYJI/druggability/data/gpr81_phase1/phase3_docking/poses/8Z8A/CHBA.pdbqt,['/das/user/QYJI/druggability/data/gpr81_phase1/phase3_docking/poses/8Z8A/CHBA.pdbqt']
t04_8Z8A,t04,3_5_DHBA,lead/tool compound,8Z8A,lead table,C1=C(C=C(C=C1O)O)C(=O)O,-6.28,phase3: 5 poses,ORTHO_POCKET,2.93,10,PHE168N-O 2.9A; ILE169N-O 2.9A; ARG71NE-O 3.1A; SER167N-O 3.1A; SER167OG-O 3.2A; TYR268OH-O 3.2A; LEU260O-O 3.2A; HIS261ND1-O 3.3A,8,168; 260; 261; 264,,,,,,/das/user/QYJI/druggability/data/gpr81_phase1/phase3_docking/poses/8Z8A/3_5_DHBA.pdbqt,['/das/user/QYJI/druggability/data/gpr81_phase1/phase3_docking/poses/8Z8A/3_5_DHBA.pdbqt']
t05_8Z8A,t05,3_OBA,lead/tool compound,8Z8A,lead table,CC(CC(=O)O)O,-4.638,phase3: 5 poses,ORTHO_POCKET,3.21,7,ARG71NH1-O 2.9A; PHE168N-O 3.0A; SER167N-O 3.1A; TYR75OH-O 3.1A; SER167OG-O 3.2A; ILE169N-O 3.3A; HIS261ND1-O 3.3A,3,168; 264,,,,,,/das/user/QYJI/druggability/data/gpr81_phase1/phase3_docking/poses/8Z8A/3_OBA.pdbqt,['/das/user/QYJI/druggability/data/gpr81_phase1/phase3_docking/poses/8Z8A/3_OBA.pdbqt']
lac_8Z8A,lac,L-lactate,endogenous,8Z8A,endogenous ligand,C[C@H](O)C(=O)O,-4.361,redock control (cognate 2OP box),ORTHO_POCKET,3.42,6,ARG71NH1-O 3.0A; PHE168N-O 3.0A; SER167OG-O 3.1A; SER167N-O 3.1A; TYR75OH-O 3.1A; HIS261ND1-O 3.3A,4,260; 261; 264,,,,,,/das/user/QYJI/druggability/data/gpr81_phase1/phase3_5_controls/poses/lactate_8Z8A.pdbqt,['/das/user/QYJI/druggability/data/gpr81_phase1/phase3_5_controls/poses/lactate_8Z8A.pdbqt']
lac_9KT9,lac,L-lactate,endogenous,9KT9,endogenous ligand (cross-structure),C[C@H](O)C(=O)O,-3.781,"tight-box 12A on 34D, ex32, 3 seeds (follow-up run)",ORTHO_POCKET,3.78,7,PHE168N-O 2.9A; TYR75OH-O 3.0A; ARG71NH2-O 3.1A; PHE168O-O 3.1A; SER167N-O 3.1A; HIS261NE2-O 3.3A; GLU166OE1-O 3.3A,7,166; 168; 261; 264,,,,,,/das/user/QYJI/druggability/data/gpr81_phase1/followup_2026-08/data/poses/lactate_9KT9_tight_seed2.pdbqt,"['/das/user/QYJI/druggability/data/gpr81_phase1/followup_2026-08/data/poses/lactate_9KT9_tight_seed20260803.pdbqt', '/das/user/QYJI/druggability/data/gpr81_phase1/followup_2026-08/data/poses/lactate_9KT9_tight_seed1.pdbqt', '/das/user/QYJI/druggability/data/gpr81_phase1/followup_2026-08/data/poses/lactate_9KT9_tight_seed2.pdbqt']"
